mision;activity;time;robot
mision 19;T_4Busy;2023-09-07 21:28:08;2
mision 19;T_4Done;2023-09-07 21:28:13;2
mision 19;T_5Busy;2023-09-07 21:28:34;3
mision 19;T_5Done;2023-09-07 21:28:38;3
mision 19;T_1ocupied;2023-09-07 21:28:52;0
mision 19;T_1waiting;2023-09-07 21:28:52;0
mision 19;T_0ocupied;2023-09-07 21:28:59;4
mision 19;T_0waiting;2023-09-07 21:28:59;4
mision 19;T_0done;2023-09-07 21:29:04;0
mision 19;T_1done;2023-09-07 21:29:04;0
mision 20;T_0Busy;2023-09-07 21:28:46;3
mision 20;T_0Done;2023-09-07 21:28:51;3
mision 20;T_1Busy;2023-09-07 21:29:31;1
mision 20;T_1Done;2023-09-07 21:29:36;1
mision 20;T_3ocupied;2023-09-07 21:29:48;2
mision 20;T_3waiting;2023-09-07 21:29:48;2
mision 20;T_2ocupied;2023-09-07 21:29:52;5
mision 20;T_2waiting;2023-09-07 21:29:52;5
mision 20;T_2done;2023-09-07 21:29:57;0
mision 20;T_3done;2023-09-07 21:29:57;0
mision 20;T_4Busy;2023-09-07 21:32:20;2
mision 20;T_4Done;2023-09-07 21:32:25;2
mision 20;T_5Busy;2023-09-07 21:32:47;2
mision 20;T_5Done;2023-09-07 21:32:52;2
mision 20;T_1ocupied;2023-09-07 21:33:06;0
mision 20;T_1waiting;2023-09-07 21:33:06;0
mision 20;T_0ocupied;2023-09-07 21:33:09;2
mision 20;T_0waiting;2023-09-07 21:33:09;2
mision 20;T_0done;2023-09-07 21:33:14;0
mision 20;T_1done;2023-09-07 21:33:14;0
mision 21;T_0Busy;2023-09-07 21:27:57;2
mision 21;T_0Done;2023-09-07 21:28:01;2
mision 21;T_1Busy;2023-09-07 21:28:04;4
mision 21;T_1Done;2023-09-07 21:28:09;4
mision 21;T_2ocupied;2023-09-07 21:28:12;0
mision 21;T_2waiting;2023-09-07 21:28:12;0
mision 21;T_3ocupied;2023-09-07 21:28:41;4
mision 21;T_3waiting;2023-09-07 21:28:41;4
mision 21;T_2done;2023-09-07 21:28:46;0
mision 21;T_3done;2023-09-07 21:28:46;0
mision 21;T_4Busy;2023-09-07 21:29:04;5
mision 21;T_4Done;2023-09-07 21:29:09;5
mision 21;T_5Busy;2023-09-07 21:29:13;1
mision 21;T_5Done;2023-09-07 21:29:18;1
mision 21;T_0ocupied;2023-09-07 21:29:25;2
mision 21;T_0waiting;2023-09-07 21:29:25;2
mision 21;T_1ocupied;2023-09-07 21:29:26;4
mision 21;T_1waiting;2023-09-07 21:29:26;4
mision 21;T_0done;2023-09-07 21:29:31;0
