mision;activity;time;robot
mision 29;TG_task3;2023-08-25 15:34:00;2
mision 29;TH_task3;2023-08-25 15:34:00;2
mision 29;TG_task4;2023-08-25 15:34:00;5
mision 29;TH_task4;2023-08-25 15:34:00;5
mision 30;TB_enter;2023-08-25 15:33:10;0
mision 30;TB_task2;2023-08-25 15:33:15;0
mision 30;TA_enter;2023-08-25 15:33:18;4
mision 30;TA_task1;2023-08-25 15:33:23;4
mision 30;TA_task3;2023-08-25 15:33:25;1
mision 30;TB_task3;2023-08-25 15:33:25;1
mision 30;TC_enter;2023-08-25 15:33:46;3
mision 30;TC_task1;2023-08-25 15:33:51;3
mision 30;TD_enter;2023-08-25 15:33:54;5
mision 30;TD_task2;2023-08-25 15:33:59;5
mision 30;TC_task3;2023-08-25 15:34:01;2
mision 30;TD_task3;2023-08-25 15:34:01;2
mision 30;TF_enter;2023-08-25 15:34:15;0
mision 30;TE_enter;2023-08-25 15:34:16;4
mision 30;TF_task2;2023-08-25 15:34:20;0
mision 30;TE_task1;2023-08-25 15:34:21;4
